version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 372487155407 eni-0a85d33e8715c75be 162.142.125.30 172.31.32.166 15252 1433 6 1 44 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.41 172.31.32.166 44176 5268 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.41 172.31.32.166 44176 5144 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.50 172.31.32.166 45057 7709 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.47 172.31.32.166 44727 7117 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.48 172.31.32.166 44845 7590 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 96.127.169.5 172.31.32.166 41902 53 17 1 72 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 96.127.169.5 172.31.32.166 39794 53 17 1 58 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.19 172.31.32.166 59258 8095 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 193.93.62.58 172.31.32.166 53444 3371 6 1 40 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 190.74.178.93 172.31.32.166 60324 445 6 1 52 1599492699 1599492757 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 17.248.134.144 172.31.32.166 443 57853 6 10 712 1599492699 1599492817 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 108.48.60.146 172.31.32.166 0 0 1 30 1680 1599492699 1599492877 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 108.48.60.146 54321 61752 17 33 5300 1599492699 1599492877 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.22 172.31.32.166 59319 8463 6 1 40 1599492764 1599492817 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 17.248.134.144 172.31.32.166 443 57853 6 1 76 1599492764 1599492817 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 193.34.166.182 172.31.32.166 58564 80 6 1 40 1599492764 1599492817 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 91.229.112.11 172.31.32.166 43751 10259 6 1 40 1599492764 1599492817 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 193.93.62.58 172.31.32.166 53444 3340 6 1 40 1599492764 1599492817 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 91.229.112.3 172.31.32.166 44967 41614 6 1 40 1599492822 1599492877 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 94.102.51.95 172.31.32.166 54697 43198 6 1 40 1599492822 1599492877 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 17.248.134.233 172.31.32.166 443 57856 6 9 846 1599492822 1599492877 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 17.248.134.233 172.31.32.166 443 57855 6 8 818 1599492822 1599492877 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 17.248.134.9 172.31.32.166 443 57904 6 8 909 1599492822 1599492877 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 91.229.112.8 172.31.32.166 43644 4624 6 1 40 1599492822 1599492877 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 185.176.27.118 172.31.32.166 62000 51511 6 4 160 1599492822 1599492877 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 91.229.112.6 172.31.32.166 43845 3235 6 1 40 1599492822 1599492877 REJECT OK
