version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 48016 22 6 14 1915 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 185.176.27.170 172.31.32.166 62000 40368 6 4 160 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 55644 6 12 2705 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 139.217.233.15 172.31.32.166 53507 11464 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 53720 22 6 14 1931 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.65.197.146 172.31.32.166 25565 61993 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 142.93.34.237 172.31.32.166 52893 731 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 51862 6 12 2705 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 167.99.170.83 172.31.32.166 45448 23559 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 49920 22 6 14 1931 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 49920 6 12 2705 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.46 172.31.32.166 56045 6863 6 1 40 1599561080 1599561131 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 161.35.126.137 22 48016 6 12 2705 1599561080 1599561131 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 161.35.126.137 172.31.32.166 55644 22 6 14 1915 1599561080 1599561131 ACCEPT OK
